start_date,incident_type,receiver_country,receiver_region,receiver_category,initiator_country,initiator_category,data_theft,has_disruption,disruption,hijacking,economic_impact,impact_indicator_value
2025-08-31,Data theft & Doxing; Disruption; Hijacking with Misuse; Ransomware,United States,NATO; NORTHAM,State institutions / political system; Critical infrastructure; Science; Education,Not available,Not available,,False,,,,0.0
2022-01-01,Data theft; Hijacking with Misuse,Eastern Europe; South Asia (region), - ,Critical infrastructure - Critical infrastructure,China,"Non-state actor, state-affiliation suggested",,False,Not available,,,0.0
2026-01-01,Disruption; Hijacking with Misuse; Ransomware; Hijacking with Misuse,United States,NATO; NORTHAM,State institutions / political system,Not available,Not available,,False,,,,0.0
,Data theft; Data theft & Doxing,Not available; France, - EUROPE; NATO; EU(MS); WESTEU,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition) - State institutions / political system,Not available,Not available,,False,,,,0.0
2025-12-27,Data theft; Disruption; Hijacking with Misuse; Ransomware; Hijacking with Misuse,Spain,EUROPE; NATO; EU(MS),Critical infrastructure,Not available,Non-state-group,,False,,,,0.0
,Data theft,United States,NATO; NORTHAM,State institutions / political system,,,,False,,,,0.0
2025-12-15,Disruption; Hijacking with Misuse; Ransomware; Hijacking with Misuse,Vietnam,ASIA; SCS; SEA,Critical infrastructure,Not available,Not available,,False,,,,0.0
2013-01-01,Data theft; Hijacking with Misuse,United Kingdom,EUROPE; NATO; EU(MS); NORTHEU,End user(s) / specially protected groups,Russia,State,,False,,,,0.0
2026-01-01,Data theft; Data theft & Doxing; Hijacking with Misuse,Turkey,ASIA; NATO; MEA,Critical infrastructure; Education,Not available,Not available,,False,Not available,,,0.0
2025-01-01,Data theft; Hijacking with Misuse; Ransomware,United States,NATO; NORTHAM,Critical infrastructure,Not available,Non-state-group,For private / commercial targets: non-sensitive information (incident scores 1 point in intensity),False,Not available,"Hijacking, system misuse, e.g., through data theft and / or disruption (incident scores 2 points in intensity)",,0.0
,Data theft; Hijacking with Misuse,Ukraine; Ukraine,EUROPE; EASTEU - EUROPE; EASTEU,State institutions / political system - State institutions / political system,Russia,"Non-state actor, state-affiliation suggested",,False,,,,0.0
2025-12-01,Data theft; Disruption; Hijacking with Misuse,Mexico; Mexico; Mexico; Mexico; Mexico; Mexico; Mexico; Mexico, -  -  -  -  -  -  - ,State institutions / political system - State institutions / political system - State institutions / political system - State institutions / political system - State institutions / political system - State institutions / political system - State institutions / political system - State institutions / political system,Mexico,Non-state-group,For private / commercial targets: sensitive information (incident scores 2 points in intensity),True,Not available,"Hijacking, system misuse, e.g., through data theft and / or disruption (incident scores 2 points in intensity)",,0.0
2025-12-27,Hijacking with Misuse,Canada,NATO; NORTHAM,Critical infrastructure,Not available,Not available,Not available,True,Not available,"Hijacking, system misuse, e.g., through data theft and / or disruption (incident scores 2 points in intensity)",,0.0
2025-12-29,Data theft; Hijacking with Misuse,New Zealand,OC,Critical infrastructure,Not available,Non-state-group,For private / commercial targets: sensitive information (incident scores 2 points in intensity),False,Not available,"Hijacking, system misuse, e.g., through data theft and / or disruption (incident scores 2 points in intensity)",,0.0
2025-12-01,Data theft; Hijacking with Misuse,India; India,ASIA; SASIA; SCO - ASIA; SASIA; SCO,Education - State institutions / political system,Pakistan,"Non-state actor, state-affiliation suggested",,False,Not available,"Hijacking, not used - empowerment (incident scores 1 point in intensity)",,0.0
2026-01-01,Disruption,France,EUROPE; NATO; EU(MS); WESTEU,Critical infrastructure,Not available,Not available,Not available,True,Short-term disruption (< 24h; incident scores 1 point in intensity),Not available,,0.0
2025-12-18,Data theft; Hijacking with Misuse,Europe (region),,International / supranational organization; Critical infrastructure,Not available,Not available,For private / commercial targets: non-sensitive information (incident scores 1 point in intensity),False,Not available,"Hijacking, system misuse, e.g., through data theft and / or disruption (incident scores 2 points in intensity)",,0.0
2025-12-21,Data theft; Hijacking with Misuse,United States,NATO; NORTHAM,Critical infrastructure,Not available,Not available,For private / commercial targets: sensitive information (incident scores 2 points in intensity),False,Not available,"Hijacking, system misuse, e.g., through data theft and / or disruption (incident scores 2 points in intensity)",Err:510,10.0
2025-12-28,Data theft & Doxing; Disruption; Hijacking with Misuse; Ransomware,"Korea, Republic of",ASIA; SCS; NEA,Critical infrastructure; Education,Not available,Non-state-group,For private / commercial targets: non-sensitive information (incident scores 1 point in intensity),True,Long-term disruption (> 24h; incident scores 2 points in intensity),"Hijacking, system misuse, e.g., through data theft and / or disruption (incident scores 2 points in intensity)",Not available,8.0
2025-02-01,Hijacking without Misuse,Myanmar; Myanmar; South Asia (region),ASIA; SEA - ASIA; SEA - ,State institutions / political system - State institutions / political system - State institutions / political system,China,"Non-state actor, state-affiliation suggested",Not available,False,Not available,"Hijacking, not used - empowerment (incident scores 1 point in intensity)",Not available,3.0
2025-01-01,Data theft; Hijacking with Misuse; Ransomware,Mexico,,State institutions / political system,,Non-state-group,For private / commercial targets: non-sensitive information (incident scores 1 point in intensity),False,Not available,"Hijacking, system misuse, e.g., through data theft and / or disruption (incident scores 2 points in intensity)",Not available,5.0
2025-12-29,Disruption,"Iran, Islamic Republic of",ASIA; MENA; MEA,Critical infrastructure,Not available,Not available,Not available,True,Short-term disruption (< 24h; incident scores 1 point in intensity),Not available,,0.0
